timestamp,bp_bid,bp_ask,lt_bid,lt_ask,long_spread,short_spread
2025-12-03 00:49:31.655,90502.8,90502.9,90493.2,90494.4,-9.6,8.5
2025-12-03 00:49:32.243,90502.8,90502.9,90493.1,90495.1,-9.7,7.8
2025-12-03 00:49:32.820,90502.8,90502.9,90491.7,90491.8,-11.1,11.1
2025-12-03 00:49:33.415,90502.8,90502.9,90494.1,90496.8,-8.7,6.1
2025-12-03 00:49:33.974,90502.8,90502.9,90493.5,90496.9,-9.3,6.0
2025-12-03 00:49:34.716,90514.3,90514.4,90505.9,90508.0,-8.4,6.4
2025-12-03 00:49:35.359,90517.8,90517.9,90514.5,90514.6,-3.3,3.3
2025-12-03 00:49:35.937,90517.8,90517.9,90513.5,90516.3,-4.3,1.6
2025-12-03 00:49:36.613,90529.3,90529.4,90516.3,90516.4,-13.0,13.0
2025-12-03 00:49:38.267,90548.8,90548.9,90525.8,90525.9,-23.0,23.0
2025-12-03 00:49:38.849,90550,90550.1,90544.0,90544.1,-6.0,6.0
2025-12-03 00:49:39.415,90550,90550.1,90544.0,90544.1,-6.0,6.0
2025-12-03 00:49:41.074,90574.4,90574.5,90554.7,90555.3,-19.7,19.2
2025-12-03 00:49:41.642,90574.4,90574.5,90564.5,90564.7,-9.9,9.8
2025-12-03 00:49:42.268,90570.3,90570.4,90562.6,90562.7,-7.7,7.7
2025-12-03 00:49:42.851,90553.4,90553.5,90554.8,90559.8,1.4,-6.3
2025-12-03 00:49:43.468,90573.7,90573.8,90547.9,90548.0,-25.8,25.8
2025-12-03 00:49:44.063,90573.7,90573.8,90564.1,90564.9,-9.6,8.9
2025-12-03 00:49:44.714,90573.7,90573.8,90564.2,90564.3,-9.5,9.5
2025-12-03 00:49:45.352,90573.7,90573.8,90559.1,90562.3,-14.6,11.5
2025-12-03 00:49:45.918,90573.7,90573.8,90558.9,90561.3,-14.8,12.5
2025-12-03 00:49:46.478,90573.7,90573.8,90560.2,90560.3,-13.5,13.5
2025-12-03 00:49:47.072,90573.7,90573.8,90558.2,90562.1,-15.5,11.7
2025-12-03 00:49:47.644,90573.7,90573.8,90557.9,90561.0,-15.8,12.8
2025-12-03 00:49:48.247,90573.7,90573.8,90562.2,90563.4,-11.5,10.4
2025-12-03 00:49:48.819,90573.7,90573.8,90562.3,90562.9,-11.4,10.9
2025-12-03 00:49:49.437,90573.7,90573.8,90557.5,90560.7,-16.2,13.1
2025-12-03 00:49:50.013,90568.5,90568.6,90557.1,90557.2,-11.4,11.4
2025-12-03 00:49:50.592,90568.5,90568.6,90555.1,90555.3,-13.4,13.3
2025-12-03 00:49:51.206,90568.5,90568.6,90554.7,90557.2,-13.8,11.4
2025-12-03 00:49:51.795,90568.5,90568.6,90554.3,90554.9,-14.2,13.7
2025-12-03 00:49:52.376,90557.1,90558.6,90551.5,90555.1,-5.6,3.5
2025-12-03 00:49:53.008,90556.6,90556.7,90546.1,90546.2,-10.5,10.5
2025-12-03 00:49:53.639,90556.6,90556.7,90548.3,90550.5,-8.3,6.2
