exchange,timestamp,side,price,quantity
Backpack,2025-12-02T17:19:59.618625+00:00,buy,91343.4,0.00200
Lighter,2025-12-02T17:20:11.082067+00:00,SHORT,91186.0624,0.00200
Backpack,2025-12-02T17:20:28.092332+00:00,sell,91421.6,0.00200
Lighter,2025-12-02T17:20:39.544312+00:00,LONG,91568.1708,0.00200
Backpack,2025-12-02T17:20:49.082774+00:00,sell,91430.4,0.00200
Lighter,2025-12-02T17:21:00.334428+00:00,LONG,91606.8480,0.00200
Backpack,2025-12-02T17:21:07.686282+00:00,sell,91444.8,0.00200
Lighter,2025-12-02T17:21:19.055040+00:00,LONG,91624.9842,0.00200
Backpack,2025-12-02T17:21:35.909725+00:00,sell,91493.8,0.00200
Lighter,2025-12-02T17:21:48.267423+00:00,LONG,91679.6934,0.00200
Backpack,2025-12-02T17:22:05.312990+00:00,buy,91486.9,0.00200
Lighter,2025-12-02T17:22:17.323501+00:00,SHORT,91325.5828,0.00200
Backpack,2025-12-02T17:22:46.923226+00:00,sell,91489.1,0.00200
Lighter,2025-12-02T17:22:58.206265+00:00,LONG,91667.3688,0.00200
Backpack,2025-12-02T17:30:20.775322+00:00,buy,91683.1,0.00200
Lighter,2025-12-02T17:30:32.260843+00:00,SHORT,91570.7914,0.00200
Backpack,2025-12-02T17:30:43.882000+00:00,buy,91692.7,0.00200
Lighter,2025-12-02T17:30:55.162175+00:00,SHORT,91512.3086,0.00200
Backpack,2025-12-02T17:31:08.594301+00:00,sell,91732.6,0.00200
Lighter,2025-12-02T17:31:20.007750+00:00,LONG,91930.1934,0.00200
Backpack,2025-12-02T17:31:32.569468+00:00,buy,91724.0,0.00200
Lighter,2025-12-02T17:31:43.940515+00:00,SHORT,91540.4522,0.00200
Backpack,2025-12-02T17:32:03.133863+00:00,sell,91799.3,0.00200
Lighter,2025-12-02T17:32:14.362855+00:00,LONG,91980.5940,0.00200
Backpack,2025-12-02T17:32:46.843088+00:00,buy,91736.2,0.00200
Lighter,2025-12-02T17:32:59.258547+00:00,SHORT,91587.9570,0.00200
Backpack,2025-12-02T17:33:04.519798+00:00,sell,91693.0,0.00200
